Sat 20 Oct,Chelsea,Manchester Utd,0.849,0.097,0.053,3,0,0.102,0.773,0.227,0.460,0.037
Sat 20 Oct,Wolverhampton,Watford,0.496,0.311,0.192,1,0,0.197,0.266,0.734,0.543,0.309
Sat 20 Oct,Manchester City,Burnley,0.937,0.051,0.011,3,0,0.163,0.731,0.269,0.754,0.030
Sat 20 Oct,Newcastle Utd,Brighton & Hove,0.300,0.307,0.392,0,1,0.148,0.322,0.678,0.338,0.403
Sat 20 Oct,Cardiff City,Fulham,0.249,0.260,0.491,0,1,0.124,0.455,0.545,0.222,0.371
Sat 20 Oct,West Ham Utd,Tottenham,0.232,0.268,0.499,0,1,0.141,0.411,0.589,0.237,0.412
Sat 20 Oct,Bournemouth,Southampton,0.699,0.168,0.133,2,1,0.094,0.687,0.313,0.360,0.080
Sat 20 Oct,Huddersfield,Liverpool,0.008,0.060,0.932,0,3,0.193,0.624,0.376,0.046,0.864
Sun 21 Oct,Everton,Crystal Palace,0.545,0.285,0.170,1,0,0.190,0.311,0.689,0.542,0.262
Sat 20 Oct,Real Madrid,Levante,0.579,0.195,0.227,2,1,0.091,0.723,0.277,0.242,0.097
Sat 20 Oct,Valencia,Leganes,0.512,0.329,0.159,1,0,0.227,0.212,0.788,0.620,0.331
Sat 20 Oct,Villarreal,Atletico Madrid,0.156,0.429,0.415,0,0,0.336,0.097,0.903,0.475,0.708
Sat 20 Oct,FC Barcelona,FC Sevilla,0.265,0.193,0.542,1,2,0.082,0.776,0.224,0.089,0.186
Sun 21 Oct,Rayo Vallecano,Getafe,0.153,0.271,0.575,0,1,0.190,0.328,0.672,0.240,0.554
Sun 21 Oct,Eibar,Athletic Bilbao,0.490,0.222,0.288,1,1,0.097,0.648,0.352,0.240,0.148
Sun 21 Oct,Huesca,Espanyol,0.057,0.140,0.802,0,2,0.158,0.561,0.439,0.088,0.608
Sun 21 Oct,Real Betis,Valladolid,0.199,0.541,0.261,0,0,0.473,0.040,0.960,0.659,0.717
Sat 20 Oct,AS Roma,SPAL,0.548,0.230,0.223,1,1,0.108,0.552,0.448,0.342,0.163
Sat 20 Oct,Juventus,Genoa,0.947,0.025,0.010,5,0,0.090,0.932,0.068,0.504,0.006
Sat 20 Oct,Udinese,Napoli,0.218,0.211,0.570,1,2,0.098,0.630,0.370,0.129,0.302
Sun 21 Oct,Frosinone,Empoli,0.155,0.381,0.465,0,0,0.275,0.141,0.859,0.407,0.676
Sun 21 Oct,Parma,Lazio,0.464,0.306,0.230,1,0,0.174,0.299,0.701,0.480,0.308
Sun 21 Oct,Chievo,Atalanta,0.225,0.265,0.509,0,1,0.141,0.416,0.584,0.231,0.415
Sun 21 Oct,Bologna,Torino,0.191,0.410,0.400,0,0,0.301,0.121,0.879,0.464,0.647
Sun 21 Oct,Fiorentina,Cagliari,0.741,0.193,0.066,1,0,0.197,0.391,0.609,0.687,0.153
Sun 21 Oct,Inter Milan,AC Milan,0.664,0.185,0.150,2,0,0.098,0.639,0.361,0.369,0.101
Sat 20 Oct,Deportivo Merlo,Leandro N. Alem,0.083,0.271,0.646,0,1,0.252,0.245,0.755,0.249,0.727
Sat 20 Oct,Arg. Quilmes,Dep. Laferre,0.348,0.237,0.416,1,1,0.107,0.604,0.396,0.194,0.227
Sun 21 Oct,El Porvenir,Excursionistas,0.307,0.264,0.428,1,1,0.126,0.468,0.532,0.246,0.318
Sun 21 Oct,Sport. Barracas,Sport. Italiano,0.166,0.241,0.593,0,1,0.149,0.433,0.567,0.189,0.473
Sat 20 Oct,Paris SG,Amiens,0.941,0.031,0.013,5,0,0.083,0.928,0.072,0.467,0.006
Sat 20 Oct,Reims,Angers,0.208,0.438,0.354,0,0,0.335,0.098,0.902,0.518,0.647
Sat 20 Oct,Nantes,Toulouse,0.339,0.276,0.385,1,1,0.130,0.432,0.568,0.286,0.315
Sat 20 Oct,Caen,Guingamp,0.604,0.263,0.133,1,0,0.199,0.324,0.676,0.588,0.230
Sat 20 Oct,Dijon,Lille,0.155,0.230,0.615,0,1,0.144,0.456,0.544,0.173,0.475
Sat 20 Oct,Strasbourg,Monaco,0.659,0.201,0.139,2,0,0.121,0.541,0.459,0.445,0.131
