3 Oct,Kingstonian,Tonbridge,0.000,0.144,0.856,0,1,0.280,0.306
3 Oct,Lewes,Worthing,0.146,0.187,0.667,0,2,0.103,0.623
2 Oct,Bognor Regis,Burgess Hill,0.756,0.203,0.041,1,0,0.249,0.305
2 Oct,Hornchurch,Folkestone Inv.,0.154,0.353,0.493,0,1,0.241,0.173
2 Oct,Dorking W.,Whitehawk,0.360,0.198,0.442,2,2,0.072,0.802
2 Oct,Bishops,Wingate & F.,0.568,0.221,0.210,1,1,0.104,0.573
2 Oct,Brightlingsea,Potters Bar,0.081,0.291,0.628,0,1,0.267,0.210
3 Oct,Sheffield Wed,West Bromwich,0.342,0.217,0.441,1,1,0.087,0.701
2 Oct,Hull City,Leeds Utd,0.064,0.126,0.811,0,2,0.125,0.664
2 Oct,Ipswich Town,Middlesbrough,0.206,0.369,0.425,0,0,0.241,0.172
3 Oct,Blackburn,Sheffield Utd,0.292,0.263,0.445,1,1,0.125,0.467
3 Oct,Derby County,Norwich City,0.368,0.269,0.363,1,1,0.128,0.461
2 Oct,Brentford,Birmingham City,0.652,0.229,0.119,1,0,0.174,0.401
2 Oct,Wigan Athletic,Swansea City,0.309,0.378,0.312,0,0,0.240,0.173
3 Oct,Rotherham,Bristol City,0.340,0.256,0.404,1,1,0.121,0.513
3 Oct,Nottm Forest,Millwall,0.676,0.284,0.040,1,0,0.308,0.175
2 Oct,Stoke City,Bolton,0.235,0.293,0.472,0,1,0.162,0.335
2 Oct,Aston Villa,Preston,0.825,0.125,0.050,2,0,0.152,0.602
2 Oct,Reading,QP Rangers,0.645,0.214,0.141,1,0,0.134,0.494
2 Oct,Coventry City,Portsmouth,0.162,0.330,0.508,0,1,0.226,0.212
2 Oct,Sunderland,Peterborough,0.383,0.205,0.412,1,2,0.073,0.772
2 Oct,Accrington,Doncaster,0.194,0.212,0.594,1,2,0.099,0.592
2 Oct,Barnsley,Plymouth,0.841,0.140,0.020,2,0,0.232,0.396
2 Oct,Scunthorpe,Charlton,0.160,0.167,0.674,1,2,0.088,0.755
2 Oct,Walsall,Shrewsbury,0.397,0.315,0.288,1,0,0.156,0.299
2 Oct,Gillingham,Blackpool,0.153,0.353,0.494,0,1,0.241,0.174
2 Oct,Fleetwood,Wycombe,0.411,0.222,0.367,1,1,0.092,0.683
2 Oct,Oxford Utd,Luton Town,0.504,0.263,0.233,1,0,0.135,0.429
2 Oct,Burton Albion,Southend Utd,0.628,0.259,0.112,1,0,0.213,0.307
2 Oct,Wimbledon,Bradford,0.437,0.241,0.322,1,1,0.111,0.578
2 Oct,Rochdale,Bristol Rovers,0.215,0.252,0.533,0,1,0.131,0.454
2 Oct,Tranmere,Lincoln,0.091,0.504,0.405,0,0,0.453,0.046
2 Oct,Newport,Macclesfield,0.726,0.140,0.133,3,1,0.078,0.829
2 Oct,Exeter,Stevenage,0.479,0.209,0.311,2,1,0.085,0.728
2 Oct,Colchester,Yeovil Town,0.356,0.235,0.409,1,1,0.106,0.612
2 Oct,Mansfield,Oldham,0.149,0.479,0.372,0,0,0.403,0.064
2 Oct,Cambridge Utd,Forest Green,0.074,0.133,0.793,0,2,0.117,0.673
2 Oct,Northampton,Bury,0.209,0.242,0.548,0,1,0.123,0.485
2 Oct,Crewe Alexandra,Swindon Town,0.820,0.139,0.041,2,0,0.188,0.492
2 Oct,Notts County,Crawley,0.228,0.315,0.458,0,1,0.181,0.278
2 Oct,Carlisle Utd,Grimsby,0.446,0.337,0.217,1,0,0.199,0.227
2 Oct,Port Vale,Milton Keynes,0.522,0.315,0.162,1,0,0.217,0.238
2 Oct,Cheltenham,Morecambe,0.143,0.367,0.490,0,0,0.262,0.152
2 Oct,Goias,Londrina,0.530,0.266,0.204,1,0,0.153,0.393
3 Oct,CSA,Paysandu,0.678,0.196,0.126,2,0,0.127,0.533
2 Oct,Sampaio Correa,Figueirense,0.202,0.233,0.565,0,1,0.116,0.512
2 Oct,Criciuma,Oeste,0.495,0.247,0.257,1,1,0.118,0.509
2 Oct,Goias,Londrina,0.530,0.266,0.204,1,0,0.153,0.393
3 Oct,CSA,Paysandu,0.678,0.196,0.126,2,0,0.127,0.533
2 Oct,Sampaio Correa,Figueirense,0.202,0.233,0.565,0,1,0.116,0.512
2 Oct,Criciuma,Oeste,0.495,0.247,0.257,1,1,0.118,0.509
3 Oct,Estud. Caseros,Dep. Espanol,0.848,0.152,0.000,1,0,0.287,0.291
2 Oct,All Boys,Talleres,0.712,0.186,0.102,2,0,0.142,0.514
2 Oct,Almirante Brown,J.J. Urquiza,0.858,0.142,0.000,1,0,0.277,0.310
2 Oct,Sacachispas,Colegiales,0.264,0.420,0.317,0,0,0.302,0.120
3 Oct,San Miguel,Def. Unidos,0.206,0.508,0.287,0,0,0.429,0.054
3 Oct,Fenix,Comunicaciones,0.456,0.291,0.253,1,0,0.152,0.353
3 Oct,San Telmo,Tristan Suarez,0.550,0.267,0.184,1,0,0.165,0.373
3 Oct,Optik Rathenow,Chemnitzer,0.051,0.084,0.864,0,3,0.081,0.847
3 Oct,Lok. Leipzig,Berliner AK,0.187,0.254,0.560,0,1,0.150,0.417
3 Oct,Hertha Berlin B,Auerbach,0.663,0.217,0.121,1,0,0.157,0.444
3 Oct,Nordhausen,Ger. Halberstad,0.629,0.262,0.109,1,0,0.219,0.296
3 Oct,Oberlausitz,RW Erfur,0.181,0.408,0.411,0,0,0.301,0.121
3 Oct,Viktoria Berlin,Babelsberg,0.286,0.250,0.464,1,1,0.119,0.516
3 Oct,Bischofswerdaer,Union Fuerst.,0.413,0.275,0.312,1,1,0.130,0.430
3 Oct,Meuselwitz,BFC Dynamo,0.448,0.226,0.326,1,1,0.097,0.652
3 Oct,Altglienicke,Budissa Bautzen,0.586,0.323,0.091,1,0,0.275,0.174
