"date","home_team","away_team","home_prob","draw_prob","away_prob","mode_home","mode_away","mode_prob","over_prob","under_prob","home_CS","away_CS"
"Tue 2 Oct","Rochdale","Bristol Rovers",0.364841882857632,0.254828515465483,0.380329105375141,1,1,0.12048725671032,0.521156039742175,0.478843960257825,0.247243647048367,0.255778316952548
"Tue 2 Oct","Burton Albion","Southend Utd",0.308373253510099,0.281632092110757,0.409994542200876,1,1,0.131499545937364,0.404407595598611,0.595592404401389,0.285382234007175,0.35072322175066
"Tue 2 Oct","Accrington","Doncaster",0.184565101112155,0.238538387590545,0.576894664707147,0,1,0.133207463119986,0.468360022200135,0.531639977799865,0.18230716558381,0.429287820177996
"Tue 2 Oct","Scunthorpe","Charlton",0.190871384807036,0.198197542077201,0.61091057078721,1,2,0.0974172545598546,0.654335166761971,0.345664833238029,0.1099069512767,0.313055239855579
"Tue 2 Oct","Gillingham","Blackpool",0.186331016964974,0.260826972263628,0.552841430992169,0,1,0.157427788244732,0.39313995345517,0.60686004654483,0.221444078693967,0.471558099332816
"Tue 2 Oct","Fleetwood","Wycombe",0.544144010066021,0.253502603358171,0.202352527031075,1,0,0.139985019978728,0.434882053484768,0.565117946515232,0.428645858194592,0.207946592945801
"Tue 2 Oct","Walsall","Shrewsbury",0.380023155817279,0.319932421436019,0.300044409439985,1,0,0.155481459589224,0.288494076370534,0.711505923629466,0.422663238221465,0.364234343029227
"Tue 2 Oct","Barnsley","Plymouth",0.774935901418819,0.16126922251927,0.0637753141219993,2,0,0.168980903095282,0.496322597851935,0.503677402148065,0.630015381719292,0.111115634764171
"Tue 2 Oct","Oxford Utd","Luton Town",0.132315324193259,0.178694820215538,0.688957083189626,0,2,0.105561623629605,0.629367055699649,0.370632944300351,0.0975511517590106,0.399535545716904
"Tue 2 Oct","Coventry City","Portsmouth",0.0883382800372621,0.227177211841665,0.684482982313291,0,1,0.206625787904297,0.347303033469966,0.652696966530034,0.188567840418714,0.656814526148439
"Tue 2 Oct","Sunderland","Peterborough",0.298656481056526,0.205526742738462,0.495797311765033,1,2,0.0844750636268186,0.7384355417621,0.2615644582379,0.113492572563683,0.188266837537151
"Tue 2 Oct","Wimbledon","Bradford",0.376848636931833,0.31101374532019,0.312137597912502,1,0,0.146320228516099,0.313795867085078,0.686204132914922,0.398110000330012,0.352125016404659
"Sat 6 Oct","Portsmouth","Gillingham",0.799680535542634,0.125945543575526,0.0741624935492374,2,0,0.104953242394667,0.711309076594265,0.288690923405735,0.451559350623623,0.0557991326024248
"Sat 6 Oct","Southend Utd","Oxford Utd",0.612700539460717,0.191236387720963,0.196029173647229,2,1,0.0942171503776312,0.697364510195278,0.302635489804722,0.282180667060162,0.0967664286311252
"Sat 6 Oct","Bristol Rovers","Walsall",0.298502529495287,0.318687015714484,0.382810440350857,0,1,0.155287670124801,0.291365335418021,0.708634664581979,0.360775512277168,0.422194875460448
"Sat 6 Oct","Shrewsbury","Accrington",0.32151483117074,0.319705465060799,0.358779692160621,0,0,0.152131684678609,0.291694678830855,0.708305321169145,0.376731354728813,0.403820072322356
"Sat 6 Oct","Peterborough","Barnsley",0.393064880244484,0.239106819717822,0.367826839940072,1,1,0.108805353463637,0.595363808647016,0.404636191352984,0.220259519623704,0.207826144611143
"Sat 6 Oct","Wycombe","Burton Albion",0.342071831201866,0.291552356639854,0.366375759738251,1,1,0.134059905112376,0.376112090238857,0.623887909761143,0.32564971857155,0.341745451262133
"Sat 6 Oct","Doncaster","Fleetwood",0.501884755534963,0.275412658873883,0.22270232435218,1,0,0.152005917714442,0.380392988045788,0.619607011954212,0.438786812887387,0.249611151313163
"Sat 6 Oct","Plymouth","Wimbledon",0.296007020873354,0.302690680588204,0.40130226255199,0,1,0.145845876182963,0.334103302770591,0.665896697229409,0.325805627540673,0.399166397089973
"Sat 6 Oct","Luton Town","Scunthorpe",0.617107190643177,0.200276398393085,0.182599726265289,2,1,0.098599010466372,0.630253600461147,0.369746399538853,0.335998804685413,0.115499224732641
"Sat 6 Oct","Blackpool","Rochdale",0.560082403597183,0.245828178333182,0.194088135368453,1,0,0.136010235521753,0.45320922437056,0.54679077562944,0.427174131180297,0.194398908266103
"Sat 6 Oct","Bradford","Sunderland",0.11732801733905,0.194478434017682,0.688183052127967,0,2,0.133519258159724,0.520388214179539,0.479611785820461,0.128524098097428,0.493608864945706
"Sat 6 Oct","Charlton","Coventry City",0.561133251809235,0.283269835701761,0.155596715879914,1,0,0.199052499038255,0.299885302888092,0.700114697111908,0.568576231885878,0.259569304819443
"Sat 13 Oct","Barnsley","Luton Town",0.484760973989123,0.285041277711543,0.230197595592502,1,0,0.157247223383211,0.356447264729779,0.643552735270221,0.445229733478648,0.268914918464338
"Sat 13 Oct","Rochdale","Doncaster",0.122560378488558,0.151094950547182,0.726185019322554,1,2,0.0875078913724521,0.745255504405379,0.254744495594621,0.0613206317391638,0.333528177902193
"Sat 13 Oct","Burton Albion","Bristol Rovers",0.310215559342109,0.352483859335876,0.337300579094105,0,0,0.200877338956386,0.217950186512434,0.782049813487566,0.437699007236491,0.458939442831121
"Sat 13 Oct","Accrington","Bradford",0.540914477021566,0.262258462259367,0.196826519265047,1,0,0.152625855636,0.399477393056969,0.600522606943031,0.455532433739809,0.223840318154444
"Sat 13 Oct","Wimbledon","Portsmouth",0.0781411620839916,0.176296401023946,0.745549388038637,0,2,0.161360396458249,0.485568234476881,0.514431765523119,0.122313518660758,0.597620362418635
"Sat 13 Oct","Scunthorpe","Peterborough",0.0794270229045241,0.097137252242161,0.820935244494436,1,3,0.0697043130891597,0.896425415629512,0.103574584370488,0.0195941072224163,0.261476540565367
"Sat 13 Oct","Fleetwood","Shrewsbury",0.422149126865002,0.333135635256106,0.244715226146079,1,0,0.183801696729116,0.244689043099239,0.755310956900761,0.499669472863706,0.362971500006168
"Sat 13 Oct","Walsall","Charlton",0.279741334500041,0.271090386555359,0.449168024824832,1,1,0.127774476312835,0.43110328007137,0.56889671992863,0.252272818992423,0.358486267634661
"Sat 13 Oct","Sunderland","Blackpool",0.367461548112217,0.328249785585739,0.304288658124741,0,0,0.165576159451085,0.268930152888677,0.731069847111323,0.4311254134587,0.384055666699824
"Sat 13 Oct","Coventry City","Wycombe",0.31152886641511,0.31892891628853,0.369542204446583,0,0,0.151568977806962,0.292694243229264,0.707305756770736,0.368811999699924,0.410965413225858
"Sat 13 Oct","Oxford Utd","Plymouth",0.422127122198165,0.248082939934545,0.329789079909249,1,1,0.116376395207564,0.545569736260401,0.454430263739599,0.264791071186942,0.21549963061793
"Sat 13 Oct","Gillingham","Southend Utd",0.302992501619137,0.21475198114554,0.482245754477661,1,2,0.0883948794960489,0.694673638234678,0.305326361765322,0.13329572165367,0.207982214858005
"Sat 20 Oct","Plymouth","Burton Albion",0.235339899246083,0.302748308414153,0.461911733146021,0,1,0.169178635689102,0.310608246759735,0.689391753240265,0.30340302472061,0.467516376270258
