9 Nov,T. de Córdoba,Aldosivi,0.461,0.434,0.104,0,0,0.365,0.082,0.918,0.792,0.461
9 Nov,Sarmiento,Arsenal S.,0.242,0.227,0.530,1,1,0.105,0.584,0.416,0.157,0.307
9 Nov,Nueva Chicago,Gimnasia Men.,0.593,0.407,0.000,0,0,0.407,0.063,0.937,1.000,0.407
9 Nov,Ind. Rivadavia,Gimnasia Jujuy,0.659,0.220,0.121,1,0,0.161,0.434,0.566,0.540,0.166
9 Nov,Club Olimpo,Almagro,0.110,0.382,0.508,0,0,0.299,0.122,0.878,0.396,0.755
9 Nov,Brown Adrogue,Agropecuario,0.491,0.411,0.097,0,0,0.342,0.094,0.906,0.794,0.430
9 Nov,Atletico Mitre,Temperley,0.525,0.253,0.222,1,0,0.129,0.456,0.544,0.396,0.207
9 Nov,Guillermo Brown,Platense,0.196,0.407,0.398,0,0,0.295,0.125,0.875,0.463,0.638
9 Nov,Atl. Rafaela,Central Cordoba,0.696,0.236,0.069,1,0,0.240,0.291,0.709,0.735,0.207
9 Nov,Chacarita Jrs,Instituto,0.181,0.256,0.562,0,1,0.156,0.402,0.598,0.214,0.473
9 Nov,Ferro Carril,Villa Dalmine,0.440,0.227,0.333,1,1,0.098,0.649,0.351,0.214,0.166
9 Nov,Deportivo Moron,Santamarina,0.215,0.312,0.473,0,1,0.185,0.278,0.722,0.315,0.509
9 Nov,Quilmes,Defensores Bel.,0.366,0.314,0.320,1,0,0.146,0.306,0.694,0.396,0.364
9 Nov,Sheffield Utd,Sheffield Wed,0.680,0.164,0.156,2,1,0.086,0.764,0.236,0.278,0.065
9 Nov,Coritiba,Goias,0.407,0.271,0.321,1,1,0.129,0.445,0.555,0.320,0.267
9 Nov,Juventude,Ponte Preta,0.117,0.260,0.623,0,1,0.210,0.310,0.690,0.228,0.623
9 Nov,Vila Nova,Figueirense,0.427,0.384,0.189,0,0,0.267,0.148,0.852,0.629,0.425
9 Nov,Boa EC,Brasil de P.,0.317,0.316,0.367,0,1,0.148,0.301,0.699,0.366,0.401
9 Nov,Würzburger K.,Zwickau,0.468,0.278,0.254,1,0,0.140,0.393,0.607,0.401,0.260
9 Nov,Krasnodar B,FC Tambov,0.162,0.203,0.636,0,2,0.105,0.582,0.418,0.125,0.389
9 Nov,Baltika Kal.,Tom Tomsk,0.235,0.295,0.470,0,1,0.163,0.331,0.669,0.289,0.455
9 Nov,R. Volgograd,Avangard Kursk,0.322,0.301,0.377,0,1,0.137,0.343,0.657,0.336,0.374
